id,stratum,probe,expected,note,result
1,A common-en,evening,pass,,
2,A common-en,later,pass,,
3,A common-en,city,pass,,
4,A common-en,gold,pass,,
5,A common-en,probably,pass,,
6,A common-en,please,pass,,
7,A common-en,leave,pass,,
8,A common-en,although,pass,,
9,A common-en,dark,pass,,
10,A common-en,great,pass,,
11,A common-en,happy,pass,,
12,A common-en,fight,pass,,
13,A common-en,helping,pass,,
14,A common-en,while,pass,,
15,A common-en,no,pass,,
16,A common-en,shield,pass,,
17,A common-en,looking,pass,,
18,A common-en,guild,pass,,
19,A common-en,level,pass,,
20,A common-en,beat,pass,,
21,A common-en,third,pass,,
22,A common-en,recruit,pass,,
23,A common-en,kick,pass,,
24,A common-en,expensive,pass,,
25,A common-en,money,pass,,
26,A common-en,cheap,pass,,
27,A common-en,village,pass,,
28,A common-en,fire,pass,,
29,A common-en,between,pass,,
30,A common-en,during,pass,,
31,A common-en,group,pass,,
32,A common-en,however,pass,,
33,A common-en,different,pass,,
34,A common-en,until,pass,,
35,A common-en,last,pass,,
36,A common-en,party,pass,,
37,A common-en,lost,pass,,
38,A common-en,join,pass,,
39,A common-en,next,pass,,
40,A common-en,wind,pass,,
41,A common-en,maybe,pass,,
42,A common-en,thanks,pass,,
43,A common-en,cool,pass,,
44,A common-en,ice,pass,,
45,A common-en,nobody,pass,,
46,A common-en,mountain,pass,,
47,A common-en,thank,pass,,
48,A common-en,why,pass,,
49,A common-en,after,pass,,
50,A common-en,armor,pass,,
51,A common-en,hello,pass,,
52,A common-en,skill,pass,,
53,A common-en,weapon,pass,,
54,A common-en,spell,pass,,
55,A common-en,sorry,pass,,
56,A common-en,win,pass,,
57,A common-en,invite,pass,,
58,A common-en,around,pass,,
59,A common-en,second,pass,,
60,A common-en,good,pass,,
61,A common-en,yes,pass,,
62,A common-en,light,pass,,
63,A common-en,item,pass,,
64,A common-en,since,pass,,
65,B dict-sample,underring,pass,,
66,B dict-sample,suasory,pass,,
67,B dict-sample,falutin,pass,,
68,B dict-sample,seminase,pass,,
69,B dict-sample,pyromania,pass,,
70,B dict-sample,unbeheaded,pass,,
71,B dict-sample,grossularite,pass,,
72,B dict-sample,ansarie,pass,,
73,B dict-sample,moyite,pass,,
74,B dict-sample,overlaxly,pass,,
75,B dict-sample,sympodium,pass,,
76,B dict-sample,reallowance,pass,,
77,B dict-sample,sinophilism,pass,,
78,B dict-sample,reviewish,pass,,
79,B dict-sample,flustrum,pass,,
80,B dict-sample,frightfully,pass,,
81,B dict-sample,isogenotype,pass,,
