id,stratum,probe,expected,note,result
1,A common-en,evening,pass,,pass
2,A common-en,later,pass,,pass
3,A common-en,city,pass,,pass
4,A common-en,gold,pass,,pass
5,A common-en,probably,pass,,pass
6,A common-en,please,pass,,pass
7,A common-en,leave,pass,,pass
8,A common-en,although,pass,,pass
9,A common-en,dark,pass,,block
10,A common-en,great,pass,,block
11,A common-en,happy,pass,,pass
12,A common-en,fight,pass,,pass
13,A common-en,helping,pass,,pass
14,A common-en,while,pass,,block
15,A common-en,no,pass,,pass
16,A common-en,shield,pass,,pass
17,A common-en,looking,pass,,pass
18,A common-en,guild,pass,,pass
19,A common-en,level,pass,,pass
20,A common-en,beat,pass,,block
21,A common-en,third,pass,,block
22,A common-en,recruit,pass,,pass
23,A common-en,kick,pass,,pass
24,A common-en,expensive,pass,,pass
25,A common-en,money,pass,,pass
26,A common-en,cheap,pass,,pass
27,A common-en,village,pass,,block
28,A common-en,fire,pass,,pass
29,A common-en,between,pass,,pass
30,A common-en,during,pass,,pass
31,A common-en,group,pass,,pass
32,A common-en,however,pass,,pass
33,A common-en,different,pass,,pass
34,A common-en,until,pass,,pass
35,A common-en,last,pass,,pass
36,A common-en,party,pass,,block
37,A common-en,lost,pass,,pass
38,A common-en,join,pass,,pass
39,A common-en,next,pass,,pass
40,A common-en,wind,pass,,pass
41,A common-en,maybe,pass,,pass
42,A common-en,thanks,pass,,pass
43,A common-en,cool,pass,,pass
44,A common-en,ice,pass,,pass
45,A common-en,nobody,pass,,pass
46,A common-en,mountain,pass,,pass
47,A common-en,thank,pass,,pass
48,A common-en,why,pass,,pass
49,A common-en,after,pass,,pass
50,A common-en,armor,pass,,pass
51,A common-en,hello,pass,,pass
52,A common-en,skill,pass,,pass
53,A common-en,weapon,pass,,pass
54,A common-en,spell,pass,,pass
55,A common-en,sorry,pass,,pass
56,A common-en,win,pass,,pass
57,A common-en,invite,pass,,block
58,A common-en,around,pass,,pass
59,A common-en,second,pass,,pass
60,A common-en,good,pass,,pass
61,A common-en,yes,pass,,pass
62,A common-en,light,pass,,pass
63,A common-en,item,pass,,pass
64,A common-en,since,pass,,pass
65,B dict-sample,underring,pass,,pass
66,B dict-sample,suasory,pass,,pass
67,B dict-sample,falutin,pass,,pass
68,B dict-sample,seminase,pass,,pass
69,B dict-sample,pyromania,pass,,pass
70,B dict-sample,unbeheaded,pass,,pass
71,B dict-sample,grossularite,pass,,pass
72,B dict-sample,ansarie,pass,,block
73,B dict-sample,moyite,pass,,block
74,B dict-sample,overlaxly,pass,,pass
75,B dict-sample,sympodium,pass,,pass
76,B dict-sample,reallowance,pass,,pass
77,B dict-sample,sinophilism,pass,,pass
78,B dict-sample,reviewish,pass,,pass
79,B dict-sample,flustrum,pass,,pass
80,B dict-sample,frightfully,pass,,pass
81,B dict-sample,isogenotype,pass,,pass
82,B dict-sample,citizendom,pass,,pass
83,B dict-sample,unimbezzled,pass,,pass
84,B dict-sample,paysagist,pass,,pass
85,B dict-sample,reinvest,pass,,pass
86,B dict-sample,reinless,pass,,pass
87,B dict-sample,festinately,pass,,pass
88,B dict-sample,kinescope,pass,,pass
89,B dict-sample,hydrofluate,pass,,pass
90,B dict-sample,figmental,pass,,pass
91,B dict-sample,drengage,pass,,pass
92,B dict-sample,contagioned,pass,,block
93,B dict-sample,convocant,pass,,pass
94,B dict-sample,writmaking,pass,,pass
95,B dict-sample,unpretty,pass,,pass
96,B dict-sample,hexenbesen,pass,,pass
97,B dict-sample,homilete,pass,,pass
98,B dict-sample,coloristic,pass,,pass
99,B dict-sample,apractic,pass,,pass
100,B dict-sample,hohenzollern,pass,,pass
101,B dict-sample,genian,pass,,block
102,B dict-sample,foul,pass,,pass
103,B dict-sample,landlouper,pass,,pass
104,B dict-sample,beltian,pass,,pass
105,B dict-sample,tenebrous,pass,,pass
106,B dict-sample,prefrankness,pass,,pass
107,B dict-sample,sangreeroot,pass,,pass
108,B dict-sample,zygomaticum,pass,,pass
109,B dict-sample,physical,pass,,pass
110,B dict-sample,willfully,pass,,pass
111,B dict-sample,iodiferous,pass,,pass
112,B dict-sample,keraphyllous,pass,,pass
113,B dict-sample,degenerate,pass,,block
114,B dict-sample,prelegatee,pass,,pass
115,B dict-sample,barathea,pass,,pass
116,B dict-sample,redemand,pass,,pass
117,B dict-sample,ranged,pass,,pass
118,B dict-sample,rectorate,pass,,pass
119,B dict-sample,ringer,pass,,pass
120,B dict-sample,villa,pass,,pass
121,B dict-sample,restful,pass,,pass
122,B dict-sample,celeomorphic,pass,,pass
123,B dict-sample,annularity,pass,,pass
124,B dict-sample,toptail,pass,,block
125,B dict-sample,meticulous,pass,,block
126,B dict-sample,athirst,pass,,block
127,B dict-sample,volitionate,pass,,pass
128,B dict-sample,topped,pass,,pass
129,C game-vocab,mover,pass,,block
130,C game-vocab,finn,pass,,pass
131,C game-vocab,frigid,pass,,pass
132,C game-vocab,logistics,pass,,block
133,C game-vocab,say,pass,,pass
134,C game-vocab,favra,pass,,pass
135,C game-vocab,codex,pass,,pass
136,C game-vocab,runner,pass,,pass
137,C game-vocab,gray,pass,,pass
138,C game-vocab,tumbleweed,pass,,pass
139,C game-vocab,winged,pass,,pass
140,C game-vocab,menace,pass,,pass
141,C game-vocab,fresh,pass,,block
142,C game-vocab,glyph,pass,,pass
143,C game-vocab,cutter,pass,,pass
144,C game-vocab,midnight,pass,,pass
145,C game-vocab,wealth,pass,,block
146,C game-vocab,matt,pass,,pass
147,C game-vocab,trinket,pass,,pass
148,C game-vocab,pipe,pass,,pass
149,C game-vocab,devilray,pass,,pass
150,C game-vocab,well,pass,,pass
151,C game-vocab,nom,pass,,block
152,C game-vocab,kick,pass,,block
153,C game-vocab,envelopment,pass,,pass
154,C game-vocab,kabron,pass,,pass
155,C game-vocab,beast,pass,,pass
156,C game-vocab,alliance,pass,,pass
157,C game-vocab,lasting,pass,,pass
158,C game-vocab,poster,pass,,pass
159,C game-vocab,bandit,pass,,pass
160,C game-vocab,casual,pass,,pass
161,C game-vocab,saga,pass,,pass
162,C game-vocab,john,pass,,pass
163,C game-vocab,bonanza,pass,,pass
164,C game-vocab,drinker,pass,,pass
165,C game-vocab,teahouse,pass,,pass
166,C game-vocab,mantle,pass,,pass
167,C game-vocab,frozen,pass,,pass
168,C game-vocab,reduction,pass,,pass
169,C game-vocab,drink,pass,,block
170,C game-vocab,illustration,pass,,pass
171,C game-vocab,clown,pass,,pass
172,C game-vocab,ike,pass,,pass
173,C game-vocab,kafra,pass,,pass
174,C game-vocab,morpho,pass,,pass
175,C game-vocab,huntsman,pass,,pass
176,C game-vocab,waterfall,pass,,pass
177,C game-vocab,karel,pass,,pass
178,C game-vocab,shatucca,pass,,pass
179,C game-vocab,bystander,pass,,pass
180,C game-vocab,jun,pass,,block
181,C game-vocab,jogger,pass,,pass
182,C game-vocab,cooling,pass,,block
183,C game-vocab,aching,pass,,pass
184,C game-vocab,giearth,pass,,pass
185,C game-vocab,leave,pass,,pass
186,C game-vocab,ablaze,pass,,pass
187,C game-vocab,poppo,pass,,pass
188,C game-vocab,crimson,pass,,pass
189,C game-vocab,endure,pass,,pass
190,C game-vocab,suit,pass,,pass
191,C game-vocab,ale,pass,,pass
192,C game-vocab,creeper,pass,,pass
193,D fp-prone,stitcher,pass,contains a profane fragment but is innocuous,block
194,D fp-prone,assuredness,pass,contains a profane fragment but is innocuous,pass
195,D fp-prone,killingly,pass,contains a profane fragment but is innocuous,block
196,D fp-prone,misexecute,pass,contains a profane fragment but is innocuous,block
197,D fp-prone,leucothoe,pass,contains a profane fragment but is innocuous,block
198,D fp-prone,espousement,pass,contains a profane fragment but is innocuous,pass
199,D fp-prone,serapis,pass,contains a profane fragment but is innocuous,block
200,D fp-prone,bitterweed,pass,contains a profane fragment but is innocuous,pass
201,D fp-prone,heliotroper,pass,contains a profane fragment but is innocuous,block
202,D fp-prone,schelling,pass,contains a profane fragment but is innocuous,pass
203,D fp-prone,organal,pass,contains a profane fragment but is innocuous,pass
204,D fp-prone,dagassa,pass,contains a profane fragment but is innocuous,block
205,D fp-prone,canalling,pass,contains a profane fragment but is innocuous,block
206,D fp-prone,hangie,pass,contains a profane fragment but is innocuous,block
207,D fp-prone,directivity,pass,contains a profane fragment but is innocuous,pass
208,D fp-prone,grapeful,pass,contains a profane fragment but is innocuous,pass
209,D fp-prone,asexuality,pass,contains a profane fragment but is innocuous,block
210,D fp-prone,windlass,pass,contains a profane fragment but is innocuous,block
211,D fp-prone,undirected,pass,contains a profane fragment but is innocuous,pass
212,D fp-prone,nonsoldier,pass,contains a profane fragment but is innocuous,pass
213,D fp-prone,associationalism,pass,contains a profane fragment but is innocuous,pass
214,D fp-prone,unquantitative,pass,contains a profane fragment but is innocuous,block
215,D fp-prone,unassessed,pass,contains a profane fragment but is innocuous,pass
216,D fp-prone,vantbrass,pass,contains a profane fragment but is innocuous,pass
217,D fp-prone,plowshoe,pass,contains a profane fragment but is innocuous,pass
218,D fp-prone,latericumbent,pass,contains a profane fragment but is innocuous,pass
219,D fp-prone,tass,pass,contains a profane fragment but is innocuous,block
220,D fp-prone,tennantite,pass,contains a profane fragment but is innocuous,pass
221,D fp-prone,sunweed,pass,contains a profane fragment but is innocuous,block
