entry,length,game_strings_broken,dict_words_broken,blast_radius,example_game,example_dict,recommended_action,rationale
te,2,349,28522,28871,ignite,aaronite,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
ll,2,182,11337,11519,skills,abactinally,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
ur,2,171,8865,9036,curse,abature,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
sa,2,111,5903,6014,savage,abaisance,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
ty,2,67,5549,5616,immunity,ability,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
sm,2,39,5564,5603,smoked,abnormalism,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
rr,2,67,3645,3712,parry,abencerrages,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
the,3,40,3569,3609,withering,absinthe,DELETE,the game's own localized text uses this as a word (162 occurrences)
tt,2,58,3229,3287,attack,abattoir,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
ui,2,45,2601,2646,squid,aceanthrenequinone,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
av,2,79,2086,2165,savage,abave,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
mm,2,48,2020,2068,immunity,accommodable,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
roc,3,15,1629,1644,rocker,abrocoma,WHOLE-WORD,"an ordinary English word; keep the word, stop the substring"
ntr,3,13,1548,1561,control,acentric,WHOLE-WORD,"substring false positives (1,561 legitimate strings)"
xi,2,18,1418,1436,maximum,abaxial,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
ka,2,44,1391,1435,sakaba,abhiseka,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
dd,2,19,1033,1052,eddga,add,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
cia,3,14,986,1000,crucian,acacia,WHOLE-WORD,"substring false positives (1,000 legitimate strings)"
net,3,8,976,984,nether,abiogenetic,DELETE,the game's own localized text uses this as a word (1 occurrences)
sw,2,32,828,860,sword,afterswarm,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
xa,2,1,762,763,hexa,abraxas,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
inf,3,15,656,671,inflatable,anteroinferior,WHOLE-WORD,substring false positives (671 legitimate strings)
tm,2,11,581,592,ointment,abetment,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
gm,2,10,581,591,judgment,abridgment,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
path,4,0,479,479,,acropathology,WHOLE-WORD,"an ordinary English word; keep the word, stop the substring"
imo,3,2,426,428,grimoire,acantholimon,WHOLE-WORD,substring false positives (428 legitimate strings)
ngo,3,3,391,394,flamingo's,abongo,WHOLE-WORD,substring false positives (394 legitimate strings)
org,3,7,361,368,nydhorgg,anorgana,WHOLE-WORD,substring false positives (368 legitimate strings)
weed,4,2,324,326,seaweed,acheweed,WHOLE-WORD,"an ordinary English word; keep the word, stop the substring"
gs,2,15,289,304,dumplings,addlings,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
bt,2,2,295,297,obtain,abterminal,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
sf,2,5,276,281,misfortune,absfarad,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
sb,2,3,265,268,basbousa,adsbud,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
roco,4,1,262,263,crocodile,abrocoma,WHOLE-WORD,substring false positives (263 legitimate strings)
ml,2,5,253,258,seamless,aimless,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
cult,4,4,227,231,occult,accultural,DELETE,the game's own localized text uses this as a word (15 occurrences)
making,6,0,230,230,,axmaking,DELETE,the game's own localized text uses this as a word (1 occurrences)
df,2,6,218,224,steadfast,adfected,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
hf,2,1,198,199,scorchfire,anguishful,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
sex,3,1,198,199,sextant,ambosexous,WHOLE-WORD,"an ordinary English word; keep the word, stop the substring"
cn,2,1,164,165,picnic,acne,SCOPE:zh,"1-2 characters: a romanized abbreviation. Meaningful in its origin market, unusable as a substring in Latin text. Keep it, restrict it to that locale."
